time_begin,total_carb,protein,sugar,calorie,dietary_fiber,total_fat
2020-02-13 18:00:00,85.0,16.0,83.0,456.0,1.7,3.3
2020-02-13 20:30:00,0.0,62.0,0.0,475.0,0.0,23.0
2020-02-13 20:30:00,2.5,1.4,0.8,13.0,1.2,0.1
2020-02-14 07:10:00,9.0,12.0,8.0,120.0,,
2020-02-14 07:10:00,26.0,1.0,10.0,110.0,,
2020-02-14 09:38:00,30.0,4.0,22.0,280.0,,
2020-02-14 12:38:00,14.0,7.6,8.5,286.0,,
2020-02-14 12:38:00,0.4,6.3,0.2,72.0,,
2020-02-14 19:30:00,92.0,5.0,75.0,440.0,,
2020-02-14 20:00:00,23.5,5.0,1.5,135.0,,
2020-02-14 20:00:00,30.0,11.0,0.1,317.0,,
2020-02-15 07:30:00,69.0,7.2,38.0,308.0,,
2020-02-15 11:02:00,30.0,4.0,22.0,280.0,,
2020-02-15 12:38:00,14.0,7.6,8.5,286.0,,
2020-02-15 12:38:00,0.4,6.3,0.2,72.0,,
2020-02-15 15:30:00,0.3,5.0,0.3,71.0,,
2020-02-15 15:35:00,30.0,4.0,22.0,280.0,,
2020-02-15 20:30:00,10.0,22.0,9.4,212.0,,
2020-02-15 20:30:00,22.0,2.1,0.0,103.0,,
2020-02-15 20:30:00,1.1,17.0,0.0,86.0,,
2020-02-15 20:30:00,4.1,0.9,2.1,17.0,,
2020-02-16 07:00:00,9.0,12.0,8.0,120.0,,
2020-02-16 07:00:00,26.0,1.0,10.0,110.0,,
2020-02-16 08:15:00,30.0,4.0,22.0,280.0,,
2020-02-16 08:49:00,32.0,2.5,25.0,151.0,,
2020-02-16 11:56:00,14.0,2.0,6.0,110.0,,
2020-02-16 12:15:00,10.0,22.0,9.4,212.0,,
2020-02-16 12:15:00,1.1,17.0,0.0,86.0,,
2020-02-16 21:10:00,3.4,0.2,0.0,12.0,,
2020-02-17 06:42:00,33.0,4.0,13.0,158.0,,
2020-02-17 12:30:00,21.0,0.0,17.0,80.0,,
2020-02-17 12:30:00,7.2,7.5,0.0,147.0,,
2020-02-17 21:00:00,4.0,1.2,2.1,83.7,,
2020-02-17 21:00:00,36.0,12.0,3.8,285.0,,
2020-02-17 21:56:00,17.0,0.7,9.3,107.0,,
2020-02-18 06:20:00,9.0,12.0,8.0,120.0,,
2020-02-18 06:20:00,26.0,1.0,10.0,110.0,,
2020-02-18 11:00:00,30.0,2.5,18.0,212.0,,
2020-02-18 11:45:00,23.0,16.0,1.7,277.0,,
2020-02-18 01:40:00,70.0,7.3,37.5,307.5,,
2020-02-18 22:00:00,30.4,44.0,0.6,776.0,,
2020-02-19 11:00:00,92.0,5.0,75.0,440.0,,
2020-02-19 15:30:00,34.0,3.0,21.0,235.0,,
2020-02-19 18:00:00,21.0,18.0,3.9,314.0,,
2020-02-19 20:00:00,22.0,67.0,1.0,532.0,,
2020-02-20 07:37:00,69.0,7.2,38.0,308.0,,
2020-02-20 07:37:00,27.0,5.5,4.4,139.0,,
2020-02-20 12:30:00,2.8,0.8,1.2,13.0,,
2020-02-20 13:00:00,32.0,2.5,25.0,151.0,,
2020-02-20 12:30:00,0.3,5.0,0.3,71.0,,
2020-02-20 18:45:00,12.0,0.7,9.3,47.0,,
2020-02-20 20:15:00,2.8,0.8,1.2,13.0,,
2020-02-20 20:30:00,69.0,7.2,38.0,308.0,,
2020-02-21 07:30:00,9.0,12.0,8.0,120.0,,
2020-02-21 07:30:00,26.0,1.0,10.0,110.0,,
2020-02-21 11:00:00,0.3,5.0,0.3,71.0,,
2020-02-21 12:30:00,3.3,19.0,2.4,254.0,,
2020-02-21 12:30:00,109.0,18.0,2.5,539.0,,
2020-02-21 19:50:00,95.0,30.0,0.0,640.0,,
2020-02-21 20:00:00,69.0,7.2,38.0,308.0,,
2020-02-22 15:10:00,82.0,26.0,40.0,654.0,5.6,26.0
